name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Milano, Lombardia, Italia",2023-01-11,9.1,1,4.6,9.1,-0.5,4.2,-0.7,69.1,0.014,100,4.17,rain,0,0,11.2,7.6,333.9,1020.3,41.9,10,43.5,3.7,2,10,2023-01-11T08:01:40,2023-01-11T17:00:52,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-12,10.1,0,4.3,10.1,0,4.1,1.4,82.7,0,0,0,,0,0,25.2,7.3,281.2,1022.1,46,9.8,57.8,4.9,3,10,2023-01-12T08:01:15,2023-01-12T17:02:04,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-01-13,9.2,1.1,4.8,8.2,-1.9,3.9,2.2,83.9,0,0,0,,0,0,18.4,9.3,285.2,1019,52.2,9.8,29.8,2.6,2,10,2023-01-13T08:00:48,2023-01-13T17:03:18,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-01-14,10.1,-1.8,4.1,10.1,-3.6,3.3,1.5,85,0.183,100,4.17,rain,0,0,18.4,14.5,76,1021.4,37.2,8.5,62.5,5.5,3,10,2023-01-14T08:00:18,2023-01-14T17:04:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-15,7,5.6,6.1,7,4.3,5.7,5.6,96.6,0.365,100,4.17,rain,0,0,26.3,7.5,272.2,1014.2,90.5,4.4,10,0.8,0,10,2023-01-15T07:59:46,2023-01-15T17:05:49,0.75,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-01-16,5.9,2.1,4.3,5.9,-0.1,2.8,4.2,99.1,0.819,100,25,rain,0,0,12.2,15.7,118.8,999.1,87.8,2.2,11.9,0.9,1,10,2023-01-16T07:59:11,2023-01-16T17:07:07,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-01-17,4.9,2,3.1,3.3,0.1,1.9,3,99.6,3.908,100,25,"rain,snow",0.5,0.2,13.2,12.4,219.4,990,86.8,4.7,8,0.7,1,10,2023-01-17T07:58:34,2023-01-17T17:08:25,0.85,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-01-18,4.2,0.9,2.6,4,-1.5,1,2.1,96.7,0.183,100,4.17,rain,0,0,24.1,9.3,254.1,993.2,66.6,4.8,17.2,1.4,1,10,2023-01-18T07:57:55,2023-01-18T17:09:44,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-01-19,4.1,2,3,4.1,-2.4,1.4,1.6,90.6,3.469,100,8.33,"rain,snow",0.4,0.4,40.7,17.5,338.2,1002.4,87.5,7.4,14.8,1.2,1,10,2023-01-19T07:57:13,2023-01-19T17:11:05,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"16080099999,16076099999,D6875,D4561,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-20,6.1,0.1,2.4,5.2,-2.8,1.5,0,85.7,0,0,0,,0,0,46.4,9.5,248.2,1008.8,42.2,8.7,84.8,7.2,4,10,2023-01-20T07:56:28,2023-01-20T17:12:26,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,D4561,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-21,7.2,-3.6,1.4,7.2,-5.4,0.7,-3.6,71.1,0,0,0,,0,0,46.4,12.8,338.2,1010.8,45.9,10,56.2,4.8,3,10,2023-01-21T07:55:42,2023-01-21T17:13:48,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-01-22,7,0,2.9,5.6,-1.8,2.1,-1.4,74.1,0,0,0,,0,0,24.1,11.1,221.9,1016.9,60.3,10,50.2,4.4,3,10,2023-01-22T07:54:53,2023-01-22T17:15:11,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,D4561,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-01-23,5.1,-0.1,2.7,4.1,-2.5,1.6,-1.1,76.8,0,0,0,snow,0,0,20.5,9.2,278.1,1019.3,78.1,10,16,1.2,1,10,2023-01-23T07:54:02,2023-01-23T17:16:34,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-24,11,4,6.8,11,2.2,6.3,3,77.5,0.197,100,8.33,rain,0,0,14.8,9.5,311.3,1028.4,66.4,10,61.3,5.3,4,10,2023-01-24T07:53:09,2023-01-24T17:17:58,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16080099999,16076099999,D6875,F5400,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-25,9,1.9,5.8,8.4,1.9,5.3,4.1,90,0,0,0,,0,0,14.8,7.7,46.8,1025.5,60.9,9.1,63.4,5.6,3,10,2023-01-25T07:52:13,2023-01-25T17:19:23,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-01-26,7,2.1,4.3,7,1,3.5,1.5,83.4,0.183,100,4.17,rain,0,0,13,8.8,114.3,1015.2,61.1,9.7,55.2,4.7,2,10,2023-01-26T07:51:15,2023-01-26T17:20:48,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-27,5,0.9,3.6,5,0.6,2.5,-1.2,71.4,0,0,0,,0,0,11.2,10.6,89.6,1013.6,76.9,9.9,31.2,2.8,2,10,2023-01-27T07:50:16,2023-01-27T17:22:14,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-01-28,8,-1.2,2.5,7.9,-1.2,2,-2,74.7,0,0,0,,0,0,13,9.3,248.5,1018.7,35.1,10,84.6,7.3,4,10,2023-01-28T07:49:14,2023-01-28T17:23:40,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-01-29,8,-2.1,2.5,7.2,-3.2,1.9,-2,73.5,0,0,0,,0,0,14.8,9.3,280,1024.4,8.5,10,88,7.5,4,10,2023-01-29T07:48:10,2023-01-29T17:25:06,0.25,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-01-30,10,-3,3.2,7.9,-3,2.1,-1.1,76.2,0,0,0,,0,0,16.6,16.4,276.5,1018.6,12.3,9.2,87.5,7.5,4,10,2023-01-30T07:47:05,2023-01-30T17:26:33,0.29,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-01-31,10.1,-2,4,10.1,-4.9,2.6,-0.3,75.6,0,0,0,,0,0,48.1,12.9,278.6,1021.3,3.8,9.1,91.5,7.8,4,10,2023-01-31T07:45:57,2023-01-31T17:28:00,0.32,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-01,14,-0.1,7.3,14,-0.7,6.7,1.7,68.4,0,0,0,,0,0,27.7,18.2,274.7,1020.2,1,10,106.8,9.2,4,10,2023-02-01T07:44:47,2023-02-01T17:29:27,0.36,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-02,16,2.8,9.2,16,-0.6,7.8,0.3,55.8,0,0,0,,0,0,39.2,22,266.7,1021.6,0,10,109,9.3,5,10,2023-02-02T07:43:36,2023-02-02T17:30:55,0.39,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-03,15,0.2,8.2,15,-0.7,7.4,1.4,63.8,0,0,0,,0,0,38.3,25.9,267.5,1023.9,10.6,10,101.1,8.7,5,10,2023-02-03T07:42:23,2023-02-03T17:32:23,0.42,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-04,20.9,6.7,12.4,20.9,3.3,10.8,0.6,51.6,0,0,0,,0,0,51.8,28.6,320.8,1021.2,0,9.9,117.5,10,5,10,2023-02-04T07:41:08,2023-02-04T17:33:50,0.46,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-05,9,2.8,6.3,6.6,1.9,4.1,-0.5,62.2,0,0,0,,0,0,37.1,23,94.1,1030.9,29.1,9.9,94.2,8.1,4,10,2023-02-05T07:39:51,2023-02-05T17:35:18,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-06,6,3,4.8,4.4,-1.6,2.2,-1,66.6,0,0,0,,0,0,33.1,20.5,98.8,1033.3,88.8,10,45.9,3.8,2,10,2023-02-06T07:38:33,2023-02-06T17:36:46,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-07,7,-0.3,2.7,6.1,-3.2,0.4,-4.8,59.1,0,0,0,,0,0,35.3,23.7,97.7,1036.1,28.9,10,108.2,9.2,4,10,2023-02-07T07:37:13,2023-02-07T17:38:14,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-02-08,6,-5,1.3,4.1,-5.2,-0.7,-5.9,61.8,0,0,0,,0,0,16.6,17.3,109.1,1036.7,23.8,10,103.3,8.9,4,10,2023-02-08T07:35:51,2023-02-08T17:39:42,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-09,5.1,-0.3,1.9,5.1,-3.2,0.2,-8.3,47.6,0,0,0,,0,0,24.1,13.9,197.9,1037,38.9,10,102,8.7,4,10,2023-02-09T07:34:28,2023-02-09T17:41:10,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-10,7.1,-5,0.8,7.1,-5.3,0.5,-6.6,60.4,0,0,0,,0,0,14,5.5,231.4,1036.5,0,10,111.1,9.5,5,10,2023-02-10T07:33:03,2023-02-10T17:42:37,0.66,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-02-11,10.1,-4,2,10.1,-6.5,1.1,-5,63.1,0,0,0,,0,0,18.4,10.9,254.2,1035,12.9,10,103,9.1,4,10,2023-02-11T07:31:37,2023-02-11T17:44:05,0.7,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-12,14.1,-1.9,5.8,14.1,-1.9,5.3,-3.7,53.6,0,0,0,,0,0,22.3,14.1,88.2,1032.9,0,10,119.6,10.4,5,10,2023-02-12T07:30:09,2023-02-12T17:45:32,0.73,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-02-13,13.1,-1.9,5.6,13.1,-2,5.1,-0.7,65.5,0,0,0,,0,0,16.6,9.2,286.1,1037,0,9.7,112.4,9.9,5,10,2023-02-13T07:28:40,2023-02-13T17:47:00,0.75,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-14,15.1,-1,5.9,15.1,-1.3,5.8,0.4,72.1,0,0,0,,0,0,14.8,12.8,279.4,1033.4,0,9.2,116.6,10,5,10,2023-02-14T07:27:10,2023-02-14T17:48:27,0.8,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-15,17.1,0,7.1,17.1,0,7,0.9,69.9,0,0,0,,0,0,11.2,9.2,292.2,1029,0.7,9,124.3,10.7,5,10,2023-02-15T07:25:38,2023-02-15T17:49:54,0.83,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-02-16,15.9,0.1,7.6,15.9,-1.7,7.3,3,74.6,0,0,0,,0,0,18.4,14.2,254.5,1028.3,28.3,9.5,119.8,10.3,5,10,2023-02-16T07:24:06,2023-02-16T17:51:21,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-02-17,15.9,1,8.8,15.9,1,8.4,4.4,76.5,0,0,0,,0,0,18.4,14.5,266.5,1028.9,3.3,8.7,118.7,10.3,5,10,2023-02-17T07:22:31,2023-02-17T17:52:47,0.9,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-02-18,16,2.9,9.8,16,1.5,9.4,4.8,73.3,0,0,0,,0,0,18.4,16.4,262.6,1026.8,11.2,9.8,126.9,11,5,10,2023-02-18T07:20:56,2023-02-18T17:54:14,0.94,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-02-19,16,3,9.7,16,3,9.2,6.2,80.6,0,0,0,,0,0,18.4,20.1,284.9,1022.7,40.3,9,108.5,9.4,5,10,2023-02-19T07:19:20,2023-02-19T17:55:40,0.97,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-02-20,13,4.3,8.2,13,4.1,8,6.3,88.6,0,0,0,,0,0,13,7.7,353.9,1025.8,47.1,5.8,38.8,3.5,2,10,2023-02-20T07:17:42,2023-02-20T17:57:06,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-02-21,14.9,1.2,7.9,14.9,1.2,7.8,5.5,86.4,0,0,0,,0,0,20.5,9.6,239.6,1021,46.6,5.3,99.3,8.6,4,10,2023-02-21T07:16:03,2023-02-21T17:58:31,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-22,13,9,10.5,13,8,10.3,7.6,83,0,0,0,rain,0,0,15.5,7.6,170,1017.4,82,5.2,22.1,1.9,1,10,2023-02-22T07:14:24,2023-02-22T17:59:57,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-02-23,14.9,8.8,11.3,14.9,8.8,11.3,8.1,81.8,0,0,0,rain,0,0,14.8,9,107.5,1014.9,84.3,5.7,74.6,6.5,3,10,2023-02-23T07:12:43,2023-02-23T18:01:22,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-02-24,13.9,8.1,10.7,13.9,8.1,10.6,8.5,86.9,0.125,100,20.83,rain,0,0,9.4,7.1,55.4,1011.5,87.1,4.9,43.5,3.7,2,10,2023-02-24T07:11:01,2023-02-24T18:02:46,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-02-25,15.9,7.1,10.9,15.9,7.1,10.9,8.2,85,0.579,100,8.33,rain,0,0,35.3,18.2,266.9,1000.8,47.8,7.7,96.4,8.4,6,10,2023-02-25T07:09:19,2023-02-25T18:04:11,0.17,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-02-26,7.7,2.8,4.8,7.7,-0.8,2.3,2.1,83.1,1.167,100,8.33,"rain,snow",0.2,0,29.8,33.8,85.7,1002,66,10,16,1.3,1,10,2023-02-26T07:07:35,2023-02-26T18:05:35,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-02-27,6,1.8,4.1,5.1,-2,2,0.9,80.6,0.948,100,16.67,"rain,snow",0.3,0.2,16.6,15.5,359.7,1016.5,71.3,10,31.5,2.7,1,10,2023-02-27T07:05:51,2023-02-27T18:06:59,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-02-28,9,2.8,5.4,9,0.6,4.1,-0.9,64.4,0.024,100,12.5,rain,0,0,16.6,14,61.8,1021.5,64.2,10,97.9,8.4,4,10,2023-02-28T07:04:06,2023-02-28T18:08:22,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-03-01,9.1,-0.1,4.7,7.9,-0.1,3.9,0.8,78,0.918,100,8.33,rain,0,0,24.1,11,352.4,1017.6,73.4,9.3,50.8,4.4,3,10,2023-03-01T07:02:20,2023-03-01T18:09:46,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-03-02,11,4,7.3,11,2.5,6.7,4.2,81.5,4.604,100,8.33,rain,0,0,22.3,10.6,310.2,1017.2,75.1,9.1,53,4.6,2,10,2023-03-02T07:00:33,2023-03-02T18:11:09,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-03-03,14,2,8.4,14,2,8.4,4,76.4,0,0,0,,0,0,27.7,9.3,216.8,1016,42.1,9.6,137.9,11.8,6,10,2023-03-03T06:58:46,2023-03-03T18:12:32,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,D6875,16076099999,16066099999,06777099999,LIML,06771099999"
"Milano, Lombardia, Italia",2023-03-04,15,3.9,8.9,15,3.9,8.8,4.3,75.4,0,0,0,,0,0,20.5,10.9,195.8,1015.9,16.4,9.8,141.6,12.1,5,10,2023-03-04T06:56:58,2023-03-04T18:13:54,0.4,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-03-05,16,1.9,8.7,16,1.9,8.5,3.8,74.9,0,0,0,,0,0,20.5,10.8,236.8,1010.7,16.8,7.7,147.1,12.7,6,10,2023-03-05T06:55:10,2023-03-05T18:15:16,0.43,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-03-06,13.9,4.9,9.7,13.9,4.9,9.4,4,69,0,0,0,rain,0,0,22.3,8.8,254.2,1005.4,55.3,10,102.3,8.7,5,10,2023-03-06T06:53:20,2023-03-06T18:16:38,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,F5400,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-03-07,14,5.8,9.9,14,5.8,9.8,4.1,68.3,0,0,0,rain,0,0,14.8,9.5,257.6,1003.4,69.3,9.8,73.4,6.3,6,10,2023-03-07T06:51:31,2023-03-07T18:18:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,D8587,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-03-08,15,3,10.1,15,3,10,4.7,70.9,0,0,0,,0,0,20.5,12.6,278.7,1004.5,59.2,10,108.8,9.3,6,10,2023-03-08T06:49:40,2023-03-08T18:19:21,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-03-09,18.1,9.7,13.1,18.1,8.8,13,7.6,71.9,0.936,100,12.5,rain,0,0,17.6,12.6,267.9,1003.8,86.4,9.8,125.6,10.9,5,10,2023-03-09T06:47:50,2023-03-09T18:20:42,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-03-10,18,8.2,13,18,6.6,12.7,6.7,68.5,0,0,0,rain,0,0,46.4,18.2,305.9,999,65.6,9.5,162.1,13.8,6,10,2023-03-10T06:45:58,2023-03-10T18:22:03,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",2023-03-11,22,7.6,15.1,22,5.6,14.7,2.1,43.7,0,0,0,,0,0,46.4,20.3,287.3,998.6,30,10,176.3,15.3,7,10,2023-03-11T06:44:07,2023-03-11T18:23:24,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-03-12,16.1,7.8,11.9,16.1,6.5,11.6,5.8,67.3,0,0,0,,0,0,31.7,19.2,101.2,1012,10,10,165.8,14.3,6,10,2023-03-12T06:42:15,2023-03-12T18:24:44,0.67,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
