name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Milano, Lombardia, Italia",2023-01-01,9.2,7.6,8.5,9.1,6.6,7.8,8.4,99.7,2.289,100,66.67,rain,0,0,16.8,9.2,240.9,1031,96.5,2.2,9.8,0.8,1,10,2023-01-01T08:03:23,2023-01-01T16:50:16,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",2023-01-02,10.1,8.1,9.4,10.1,7.6,9.4,9.4,99.8,1.221,100,54.17,rain,0,0,5.4,5.3,208.6,1029.5,98.6,3.1,11.8,1.1,1,10,2023-01-02T08:03:24,2023-01-02T16:51:11,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-03,10,9,9.8,10,9,9.7,9.7,99.9,3.813,100,62.5,rain,0,0,7.6,7.2,190.1,1029.2,94.8,4.7,10.3,0.9,1,10,2023-01-03T08:03:23,2023-01-03T16:52:09,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-04,11.1,6,9.5,11.1,6,9.4,8.8,95.3,0.021,100,4.17,rain,0,0,11.2,10.6,257.9,1029.5,71.3,7.8,34.5,3,2,10,2023-01-04T08:03:20,2023-01-04T16:53:08,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-05,14.1,5,8.4,14.1,2.6,7.7,7,91.8,0.183,100,4.17,rain,0,0,13,19.7,259.1,1023,40.9,6,47.6,4.1,2,10,2023-01-05T08:03:13,2023-01-05T16:54:09,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-06,9,7.8,8.3,8.9,6.2,7.5,8.2,99.3,0.183,100,4.17,rain,0,0,9.4,9.2,72.6,1025.1,93.4,2.1,14,1.3,1,10,2023-01-06T08:03:04,2023-01-06T16:55:12,0.48,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-07,7.9,7.8,7.9,7.9,6.5,7.6,7.2,95.8,0.183,100,4.17,rain,0,0,9.4,7.6,85.3,1023.6,97.6,5,9.7,0.8,1,10,2023-01-07T08:02:53,2023-01-07T16:56:17,0.5,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-08,7.9,6.9,7.3,7.9,5,6.6,7.3,99.8,20.263,100,66.67,rain,0,0,13,10.7,80.4,1015.5,94.5,3.4,5.3,0.5,0,10,2023-01-08T08:02:38,2023-01-08T16:57:24,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-09,10.7,6.9,8,10.7,4,6.6,5.1,85.2,12.051,100,20.83,rain,0,0,25.9,19.6,274.4,1004.6,47.2,8.5,38.1,3.3,3,10,2023-01-09T08:02:21,2023-01-09T16:58:32,0.58,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",2023-01-10,15,4.1,9.4,15,3,8.4,-4.8,38.2,0,0,0,,0,0,50,25.2,311.7,1016.1,19.4,10,79.6,6.8,4,10,2023-01-10T08:02:02,2023-01-10T16:59:41,0.62,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
